"old_key","new_key","scope","source_de","source_en","windows_key_match_or_empty"
"create_project","CREATE_PROJECT","one","Projekt erstellen","Create project",""
"current_projects","CURRENT_PROJECTS","one","Aktuelle Projekte","Current projects",""
"damage","DAMAGE","one","Schaden","Damage",""
"damage_presets","DAMAGE_PRESETS","one","Schadensliste","Damage types",""
"damage_type_blockage","DAMAGE_TYPE_BLOCKAGE","one","Verstopfung","Blockage",""
"damage_type_crack","DAMAGE_TYPE_CRACK","one","Risse","Crack",""
"damage_type_deposit","LinearDmg.BDA","shared","Ablagerung","Deposition","LinearDmg.BDA"
"damage_type_fracture","DAMAGE_TYPE_FRACTURE","one","Brüche","Break",""
"damage_type_other","Banner.Shape.Other","shared","Sonstiges","Miscellaneous","Banner.Shape.Other"
"damage_type_roots","DAMAGE_TYPE_ROOTS","one","Wurzeleinwuchs","Root ingrowth",""
"damage_type_sag","DAMAGE_TYPE_SAG","one","Senkung","Subsidence",""
"dashboard_title","DASHBOARD_TITLE","one","ONE.APP Dashboard","ONE.APP Dashboard",""
"delete","BTN_DELETE","shared","Löschen","Delete","BTN_DELETE"
"delete_damage_title","DELETE_DAMAGE_TITLE","one","Schaden löschen?","Delete damage?",""
"delete_note_title","DELETE_NOTE_TITLE","one","Notiz löschen?","Delete note?",""
"delete_preset","BTN_DELETE","shared","Löschen","Delete","BTN_DELETE"
"delete_video_title","DELETE_VIDEO_TITLE","one","Video löschen?","Delete video?",""
"device_switch_restart","DEVICE_SWITCH_RESTART","one","Der Gerätewechsel erfordert einen Neustart der App.","Changing device type requires an app restart.",""
"device_type","DEVICE_TYPE","one","Gerätetyp","Device type",""
"device_type_subtitle","DEVICE_TYPE_SUBTITLE","one","Bestimmt die Verbindungs-Konfiguration (Neustart erforderlich)","Determines connection configuration (restart required)",""
"double_tap_to_edit","DOUBLE_TAP_TO_EDIT","one","Doppeltippen zum Bearbeiten","Double-tap to edit",""
"edit","EZ_AI_EDIT","shared","Bearbeiten","Edit","EZ_AI_EDIT"
"edit_damage","EDIT_DAMAGE","one","Schaden bearbeiten","Process damage",""
"edit_image","EDIT_IMAGE","one","Bild bearbeiten","Edit image",""
"edit_note","EDIT_NOTE","one","Notiz bearbeiten","Edit note",""
"edit_preset","EZ_AI_EDIT","shared","Bearbeiten","Edit","EZ_AI_EDIT"
"edit_project","DIALOG_EDIT_PROJECT","shared","Projekt bearbeiten","Edit project","DIALOG_EDIT_PROJECT"
"enter_url_or_scan","ENTER_URL_OR_SCAN","one","URL eingeben oder Netzwerk scannen","Enter URL or scan network",""
"export_complete","EXPORT_COMPLETE","one","Export abgeschlossen","Export complete",""
"export_direction","EXPORT_DIRECTION","one","Darstellungsrichtung","Display direction",""
"export_end_to_start","EXPORT_END_TO_START","one","Ende → Start","End → Start",""
"export_include_photos","EXPORT_INCLUDE_PHOTOS","one","Fotos einbinden","Include photos",""
"export_include_xml","EXPORT_INCLUDE_XML","one","XML-Datei einschließen","Include XML file",""
"export_include_xml_hint","EXPORT_INCLUDE_XML_HINT","one","DIN EN 13508-2 kompatibel","DIN EN 13508-2 compatible",""
"export_options","EXPORT_OPTIONS","one","Export Optionen","Export options",""
"export_save_to","MANHOLE_UNWRAP_SAVE_AS","shared","Speichern unter...","Save to...","MANHOLE_UNWRAP_SAVE_AS"
"export_share","EXPORT_SHARE","one","Teilen","Share",""
"export_start","BTN_EXPORT","shared","Exportieren","Export","BTN_EXPORT"
"export_start_to_end","EXPORT_START_TO_END","one","Start → Ende","Start → End",""
"fetch_weather_gps","FETCH_WEATHER_GPS","one","Wetter per GPS abrufen","Fetch weather via GPS",""
"ffmpeg_recording_desc","FFMPEG_RECORDING_DESC","one","Aufnahme mit eingebrentem OSD via FFmpeg drawtext. OSD-Daten werden sekündlich aktualisiert.","Records with OSD burned in via FFmpeg drawtext filter. OSD data updated each second.",""
"ffmpeg_recording_label","FFMPEG_RECORDING_LABEL","one","FFmpeg-Recording (OSD Burn-In)","FFmpeg Recording (OSD Burn-In)",""
"field_address","COL_ADDRESS","shared","Adresse","Address","COL_ADDRESS"
"field_broker_ip","FIELD_BROKER_IP","one","Broker IP-Adresse","Broker IP address",""
"field_broker_port","FIELD_BROKER_PORT","one","Broker Port","Broker port",""
"field_camera_type","FIELD_CAMERA_TYPE","one","Kameratyp","Camera type",""
"field_company_name","MANDANT_NAME","shared","Firmenname","Company name","MANDANT_NAME"
"field_damage_type","FIELD_DAMAGE_TYPE","one","Schadensart","Type of damage",""
"field_description_optional","FIELD_DESCRIPTION_OPTIONAL","one","Beschreibung (optional)","Description (optional)",""
"field_description_required","FIELD_DESCRIPTION_REQUIRED","one","Beschreibung (Pflicht)","Description (required)",""
"field_diameter","FIELD_DIAMETER","one","Durchmesser (mm)","Diameter (mm)",""
"field_end_point","FIELD_END_POINT","one","Endpunkt","End point",""
"field_inspection_date","INVESTIGATION_DATE","shared","Inspektionsdatum","Inspection date","INVESTIGATION_DATE"
"field_inspection_length","FIELD_INSPECTION_LENGTH","one","Inspektionslänge (m)","Inspection length (m)",""
"field_inspection_system","FIELD_INSPECTION_SYSTEM","one","Inspektionssystem","Inspection system",""
"field_inspector","FIELD_INSPECTOR","one","Inspektor","Inspector",""
"field_location_address","FIELD_LOCATION_ADDRESS","one","Standort / Adresse","Location / Address",""
"field_material","Banner.Material","shared","Material","Material","Banner.Material"
"field_note","FIELD_NOTE","one","Notiz","Note",""
"field_pipe_type","FIELD_PIPE_TYPE","one","Leitungstyp","Pipeline type",""
"field_position","PROTOKOLL_XAXIS_POSITION","shared","Position (m)","Position (m)","PROTOKOLL_XAXIS_POSITION"
"field_project_client","FIELD_PROJECT_CLIENT","one","Projekt / Auftraggeber","Project / Client",""
"field_rtsp_url","FIELD_RTSP_URL","one","RTSP Stream URL","RTSP stream URL",""
"field_start_point","FIELD_START_POINT","one","Startpunkt","Starting point",""
"field_weather","FIELD_WEATHER","one","Wetterbedingungen","Weather conditions",""
"frequency","FREQUENCY","one","Freq","Freq",""
"gateway","GATEWAY","one","Gateway","Gateway",""
"general_info","GENERAL_INFO","one","Allgemeine Angaben","General information",""
"get_gps_location","GET_GPS_LOCATION","one","Standort per GPS ermitteln","Get location via GPS",""
"hardware_not_searched","HARDWARE_NOT_SEARCHED","one","Hardware noch nicht gesucht","Hardware not yet searched",""
"hardware_osd","HARDWARE_OSD","one","Hardware-OSD","",""
"hardware_osd_desc","HARDWARE_OSD_DESC","one","Nutzt das Hardware-OSD der Kamera falls App-OSD deaktiviert ist","Uses camera-side OSD if App-OSD is disabled",""
"hardware_osd_label","HARDWARE_OSD_LABEL","one","Kamera-OSD aktivieren","Enable Camera OSD",""
"hardware_status","HARDWARE_STATUS","one","Hardware-Status","Hardware status",""
"include_map","INCLUDE_MAP","one","Standortkarte einschließen","Include location map",""
"inspection","Form.Tab.Inspection","shared","Inspektion","Inspection","Form.Tab.Inspection"
"inspection_action","Form.Tab.Inspection","shared","Inspektion","Inspection","Form.Tab.Inspection"
"inspection_form","INSPECTION_FORM","one","Inspektionsform","Inspection method",""
"inspection_method","INSPECTION_METHOD","one","Inspektionsmethode","Inspection method",""
"inspection_system_value","INSPECTION_SYSTEM_VALUE","one","NSP3CT ONE","NSP3CT ONE",""
"ip_address","IP_ADDRESS","one","IP-Adresse","IP address",""
"language","MENU_VIEW_LANGUAGE","shared","Sprache","Language","MENU_VIEW_LANGUAGE"
"last_damages","LAST_DAMAGES","one","Letzte Schäden","Last damage",""
"light","EZ_LIGHT","shared","Licht","Light","EZ_LIGHT"
"light_level","LIGHT_LEVEL","one","Stufe","Level",""
"light_off","LIGHT_OFF","one","AUS","OFF",""
"light_on","LIGHT_ON","one","AN","ON",""
"live_indicator","LIVE_INDICATOR","one","LIVE","LIVE",""
"location_disabled","LOCATION_DISABLED","one","Standort ist deaktiviert","Location is disabled",""
"location_permission_needed","LOCATION_PERMISSION_NEEDED","one","Standortberechtigung erforderlich","Location permission required",""
"log","LOG","one","Log","Log",""
"manual_rtsp_url","MANUAL_RTSP_URL","one","Manuelle RTSP-URL","Manual RTSP URL",""
"map_preview","MAP_PREVIEW","one","Standortkarte","Location map",""
"material_cast_iron","MATERIAL_CAST_IRON","one","Gusseisen","Cast iron",""
"material_concrete","Mat.Concrete","shared","Beton","Concrete","Mat.Concrete"
"material_pvc","Mat.PVC","shared","PVC","PVC","Mat.PVC"
"material_stoneware","Mat.Stoneware","shared","Steinzeug","Stoneware","Mat.Stoneware"
"material_unknown","MATERIAL_UNKNOWN","one","Unbekannt","Unknown",""
"meter_absolute","METER_ABSOLUTE","one","Absolut","Absolute",""
"meter_distance","METER_DISTANCE","one","Strecke","Distance",""
"nav_connection","HW_DASHBOARD_CONNECTION","shared","Verbindung","Connection","HW_DASHBOARD_CONNECTION"
"nav_home","NAV_HOME","one","Home","Home",""
"nav_inspection","Form.Tab.Inspection","shared","Inspektion","Inspection","Form.Tab.Inspection"
"nav_projects","NAV_PROJECTS","one","Projekte","Project",""
"nav_reports","NAV_REPORTS","one","Berichte","Reports",""
"nav_settings","MENU_FILE_SETTINGS","shared","Einstellungen","Settings","MENU_FILE_SETTINGS"
"network_scan","NETWORK_SCAN","one","Netzwerk-Scan","Network scan",""
"new_entry","NEW_ENTRY","one","Neuer Eintrag","New entry",""
"new_project","DIALOG_NEW_PROJECT","shared","Neues Projekt","New project","DIALOG_NEW_PROJECT"
"new_project_fab","DIALOG_NEW_PROJECT","shared","Neues Projekt","New project","DIALOG_NEW_PROJECT"
"new_project_title","DIALOG_NEW_PROJECT","shared","Neues Projekt","New project","DIALOG_NEW_PROJECT"
"no_activity_yet","NO_ACTIVITY_YET","one","Noch keine Aktivität","No activity yet",""
"no_damages","NO_DAMAGES","one","Keine Schäden erfasst","No damage recorded",""
"no_damages_recorded","NO_DAMAGES_RECORDED","one","Keine Schäden erfasst","No damage recorded",""
"no_data","NO_DATA","one","Keine Daten","No data",""
"no_hardware_reachable","NO_HARDWARE_REACHABLE","one","Kein Hardware-Controller erreichbar","No hardware controller available",""
"no_notes","NO_NOTES","one","Keine Notizen vorhanden","No notes available",""
"no_photos","NO_PHOTOS","one","Keine Fotos vorhanden","No photos available",""
"no_project","NO_PROJECT","one","Kein Projekt","No project",""
"no_projects","NO_PROJECTS","one","Keine Projekte vorhanden","No projects available",""
"no_projects_hint","NO_PROJECTS_HINT","one","Tippen Sie auf + um ein neues Projekt anzulegen","Tap + to create a new project",""
"no_recordings","NO_RECORDINGS","one","Keine Aufnahmen vorhanden","No recordings available",""
"no_reports","NO_REPORTS","one","Keine Berichte vorhanden","No reports available",""
"no_scan_yet","NO_SCAN_YET","one","Noch kein Scan durchgeführt","No scan performed yet",""
"no_screenshot","NO_SCREENSHOT","one","Kein Screenshot verfügbar","No screenshot available",""
"no_stream_active","NO_STREAM_ACTIVE","one","Kein Stream aktiv","No stream active",""
"not_reachable","WELCOME_PORTAL_OFFLINE","shared","Nicht erreichbar","Not accessible","WELCOME_PORTAL_OFFLINE"
"note","NOTE","one","Notiz","Note",""
"note_placeholder","NOTE_PLACEHOLDER","one","Freitext eingeben...","Enter free text...",""
"notes","CLIENT_PROFILE_NOTES","shared","Notizen","Notes","CLIENT_PROFILE_NOTES"
"nsp3ct_connection","NSP3CT_CONNECTION","one","NSP3CT Verbindung","NSP3CT connection",""
"one_connection","ONE_CONNECTION","one","ONE Verbindung","ONE connection",""
"one_connection_subtitle","ONE_CONNECTION_SUBTITLE","one","WiFi-Scan, RTSP-Erkennung, Controller","WiFi scan, RTSP detection, controller",""
"one_controller","ONE_CONTROLLER","one","ONE Controller","ONE Controller",""
"one_network_detected","ONE_NETWORK_DETECTED","one","ONE-Netzwerk erkannt","ONE network detected",""
"original","ORIGINAL","one","Original","Original",""
"osd_background","OSD_BACKGROUND","shared","Hintergrund","Background","OSD_BACKGROUND"
"osd_bg_semi","OSD_BG_SEMI","shared","Halbtransparent","Semi-transparent","OSD_BG_SEMI"
"osd_bg_solid","OSD_BG_SOLID","shared","Schwarz","Black","OSD_BG_SOLID"
"osd_bg_transparent","OSD_BG_TRANSPARENT","shared","Transparent","Transparent","OSD_BG_TRANSPARENT"
"osd_color_green","OSD_COLOR_GREEN","one","Grün","Green",""
"osd_color_white","OSD_COLOR_WHITE","one","Weiß","White",""
"osd_color_yellow","OSD_COLOR_YELLOW","shared","Gelb","Yellow","OSD_COLOR_YELLOW"
"osd_enable_burnin","OSD_ENABLE_BURNIN","one","OSD Burn-In aktivieren","Enable OSD Burn-In",""
"osd_enable_burnin_desc","OSD_ENABLE_BURNIN_DESC","one","Blendet Text (Meterstand, Datum, Projekt) pixelgenau in den Live-Stream ein","Burns text (meter, date, project) pixel-accurate into the live stream",""
"osd_flash_below_line1","OSD_FLASH_BELOW_LINE1","one","Unter Kopfzeile","Below header",""
"osd_flash_center","OSD_FLASH_POS_CENTER","shared","Bildmitte","Center","OSD_FLASH_POS_CENTER"
"osd_flash_position","OSD_FLASH_POSITION","one","Beobachtungs-Flash Position","Observation flash position",""
"osd_font_color","OSD_FONT_COLOR","shared","Schriftfarbe","Font color","OSD_FONT_COLOR"
"osd_font_large","OSD_FONT_LARGE","one","Groß","Large",""
"osd_font_maxi","OSD_FONT_MAXI","one","Sehr groß","Extra large",""
"osd_font_medium","OSD_FONT_SIZE_MEDIUM","shared","Mittel","Medium","OSD_FONT_SIZE_MEDIUM"
"osd_font_size","OSD_FONT_SIZE","one","Schriftgröße","Font size",""
"osd_font_small","OSD_FONT_SIZE_SMALL","shared","Klein","Small","OSD_FONT_SIZE_SMALL"
"osd_player_desc","OSD_PLAYER_DESC","one","Nutzt den Canvas-OSD-Player (VLC-Basis mit Live-OSD Overlay). Pflicht fuer Burn-In.","Uses the Canvas-OSD player (VLC backend with live OSD overlay). Required for burn-in.",""
"osd_player_label","OSD_PLAYER_LABEL","one","App-OSD Player aktivieren","Enable App-OSD Player",""
"osd_settings","OSD_SETTINGS","one","OSD Einblendung (Live Burn-In)","OSD Overlay (Live Burn-In)",""
"osd_show_date","Osd.Config.ShowDate","shared","Datum anzeigen","Show date","Osd.Config.ShowDate"
"osd_show_inclination","Osd.Config.ShowInclination","shared","Neigung anzeigen","Show inclination","Osd.Config.ShowInclination"
"osd_show_meter","OSD_SHOW_METER","one","Meterstand anzeigen","Show meter value",""
"overwrite_original","OVERWRITE_ORIGINAL","one","Original überschreiben","Overwrite original",""
"pdf_client_label","Banner.Client","shared","Auftraggeber","Client","Banner.Client"
"pdf_company_label","PDF_COMPANY_LABEL","one","Firma","Company",""
"pdf_damage_count","PDF_DAMAGE_COUNT","one","Anzahl Schäden","Number of Defects",""
"pdf_damage_doc","PDF_DAMAGE_DOC","one","SCHADENSDOKUMENTATION","DEFECT DOCUMENTATION",""
"pdf_damage_number","PDF_DAMAGE_NUMBER","one","Schaden #","Defect #",""
"pdf_description_label","ORDER_DESCRIPTION","shared","Beschreibung","Description","ORDER_DESCRIPTION"
"pdf_diameter_label","PDF_DIAMETER_LABEL","one","Durchmesser","Diameter",""
"pdf_export","PDF_EXPORT","one","PDF Export","PDF Export",""
"pdf_footer","PDF_FOOTER","one","Erstellt mit ONE.APP","Created with ONE.APP",""
"pdf_inspection_length_label","PDF_INSPECTION_LENGTH_LABEL","one","Inspektionslänge","Inspection Length",""
"pdf_location_label","PDF_LOCATION_LABEL","one","Standort/Adresse","Location/Address",""
"pdf_no","Common.No","shared","Nein","No","Common.No"
"pdf_note_count_label","PDF_NOTE_COUNT_LABEL","one","Anzahl Notizen","Number of Notes",""
"pdf_notes_nr","PDF_NOTES_NR","one","Nr.","No.",""
"pdf_notes_text","PDF_NOTES_TEXT","one","Text","Text",""
"pdf_photo_error","PDF_PHOTO_ERROR","one","[Foto konnte nicht geladen werden]","[Photo could not be loaded]",""
"pdf_photos_error","PDF_PHOTOS_ERROR","one","[Fotos konnten nicht geladen werden]","[Photos could not be loaded]",""
"pdf_pipe_profile","PDF_PIPE_PROFILE","one","LEITUNGSVERLAUF","PIPE ROUTE",""
"pdf_position_label","MANHOLE_FINDING_SECTION_POSITION","shared","Position","Position","MANHOLE_FINDING_SECTION_POSITION"
"pdf_preview","PDF_PREVIEW","one","Vorschau","Preview",""
"pdf_preview_empty","PDF_PREVIEW_EMPTY","one","Keine Seiten vorhanden","No pages available",""
"pdf_preview_loading","PDF_PREVIEW_LOADING","one","Vorschau wird erstellt...","Creating preview...",""
"pdf_preview_title","PDF_PREVIEW_TITLE","one","PDF Vorschau","PDF Preview",""
"pdf_project_number_label","PDF_PROJECT_NUMBER_LABEL","one","Projekt-Nr.","Project No.",""
"pdf_recorded_label","PDF_RECORDED_LABEL","one","Erfasst","Recorded",""
"pdf_route_label","PDF_ROUTE_LABEL","one","Strecke","Route",""
"pdf_summary","Wizard.Step8.Title","shared","Zusammenfassung","Summary","Wizard.Step8.Title"
"pdf_title","PDF_TITLE","one","INSPEKTIONSBERICHT","INSPECTION REPORT",""
"pdf_yes","Common.Yes","shared","Ja","Yes","Common.Yes"
"photo","MANHOLE_FINDING_PHOTO","shared","Foto","Photo","MANHOLE_FINDING_PHOTO"
"photo_recording","PHOTO_RECORDING","one","Fotoaufzeichnung","Photo recording",""
"pick_on_map","PICK_ON_MAP","one","Standort auf Karte wählen","",""
"pipe_data","PIPE_DATA","one","Leitungsdaten","Pipeline data",""
"pipe_type_drainage","PIPE_TYPE_DRAINAGE","one","Entwässerung","Drainage",""
"pipe_type_other","Banner.Shape.Other","shared","Sonstiges","Miscellaneous","Banner.Shape.Other"
"pipe_type_sewer","PIPE_TYPE_SEWER","one","Kanalisation","Sewer",""
"pipe_type_wastewater","PIPE_TYPE_WASTEWATER","one","Abwasser","Wastewater",""
"play","PLAY","one","Abspielen","Play",""
"ports_label","PORTS_LABEL","one","Ports:","Ports:",""
"position_label","POSITION_LABEL","one","Position:","Location",""
"projects_title","PROJECTS_TITLE","one","Projekte","Project",""
"quick_access","WELCOME_QUICK_ACTIONS","shared","Schnellzugriff","Quick access","WELCOME_QUICK_ACTIONS"
"reachable","WELCOME_PORTAL_ONLINE","shared","Erreichbar","Reachable","WELCOME_PORTAL_ONLINE"
"rec_indicator","REC_INDICATOR","one","REC {elapsed}","REC {elapsed}",""
"record","RECORD","one","Aufnahme","Recording",""
"record_damage","RECORD_DAMAGE","one","Schaden erfassen","Record damage",""
"recording","RECORDING","one","Aufnahme","Recording",""
"recording_active","RECORDING_ACTIVE","one","Aufnahme läuft...","Recording in progress...",""
"recording_indicator_ffmpeg","RECORDING_INDICATOR_FFMPEG","one","REC (FFmpeg)","REC (FFmpeg)",""
"recording_mode_question","RECORDING_MODE_QUESTION","one","Wie soll aufgenommen werden?","How should the recording be made?",""
"remove_logo","PRINT_LOGO_REMOVE","shared","Logo entfernen","Remove logo","PRINT_LOGO_REMOVE"
"reports","REPORTS","one","Berichte","Reports",""
"reports_title","REPORTS_TITLE","one","Berichte","Reports",""
"reset_defaults","RESET_DEFAULTS","one","Standardwerte zurücksetzen","Reset to defaults",""
"reset_zero","RESET_ZERO","one","0","0",""
"response_label","RESPONSE_LABEL","one","Response:","Response:",""
"restart_language_message","RESTART_LANGUAGE_MESSAGE","one","Die App muss neu gestartet werden, damit alle Sprachänderungen vollständig übernommen werden.","The app needs to be restarted for all language changes to take full effect.",""
"restart_later","RESTART_LATER","one","Später","Later",""
"restart_now","RESTART_NOW","one","Jetzt neu starten","Restart now",""
"restart_required","SETTINGS_LANGUAGE_RESTART_TITLE","shared","Neustart erforderlich","Restart required","SETTINGS_LANGUAGE_RESTART_TITLE"
"rtsp","RTSP","one","RTSP","RTSP",""
"rtsp_results","RTSP_RESULTS","one","RTSP-Ergebnisse","RTSP results",""
"rtsp_url_placeholder","RTSP_URL_PLACEHOLDER","one","rtsp://192.168.1.100:554/stream","rtsp://192.168.1.100:554/stream",""
"save","BTN_SAVE","shared","Speichern","Save","BTN_SAVE"
"save_as_copy","SAVE_AS_COPY","one","Als Kopie speichern","Save as copy",""
"save_image_question","SAVE_IMAGE_QUESTION","one","Wie möchten Sie das bearbeitete Bild speichern?","How would you like to save the edited image?",""
"save_image_title","SAVE_IMAGE_TITLE","one","Bild speichern","Save image",""
"scan","WIFI_SCAN","shared","Scannen","Scanning","WIFI_SCAN"
"scanning","SCANNING","one","Scanne...","Scanning...",""
"search","BTN_SEARCH","shared","Suchen","Search","BTN_SEARCH"
"search_address","SEARCH_ADDRESS","one","Adresse suchen","",""
"searching","SEARCHING","one","Suche...","Search",""
"select_logo","MANDANT_SELECT_LOGO","shared","Logo auswählen","Select logo","MANDANT_SELECT_LOGO"
"setting_locked","SETTING_LOCKED","one","Nach Projektanlage nicht änderbar","Cannot be changed after project creation",""
"settings_saved","SETTINGS_SAVED","shared","Einstellungen gespeichert","Settings saved","SETTINGS_SAVED"
"settings_title","MENU_FILE_SETTINGS","shared","Einstellungen","Settings","MENU_FILE_SETTINGS"
"share_report","SHARE_REPORT","one","Bericht teilen","Share report",""
"show_all","SHOW_ALL","one","Alle anzeigen","Show all",""
"sonde","SONDE","one","Sonde","Probe",""
"sonde_off","SONDE_OFF","one","AUS","OFF",""
"sonde_on","SONDE_ON","one","AN","ON",""
"sonde_overlay","SONDE_OVERLAY","one","Sonde: {label}","Probe: {label}",""
"ssid","SSID","one","SSID","SSID",""
"start_recording_title","START_RECORDING_TITLE","one","Aufnahme starten","Start recording",""
"start_stream","START_STREAM","one","Stream starten","Start stream",""
"status_connected","HW_CONNECTED","shared","Verbunden","Connected","HW_CONNECTED"
"status_connecting","STATUS_CONNECTING","one","Verbinde...","Connecting...",""
"status_error","IMPORT_ANALYSIS_ERRORS","shared","Fehler","Error","IMPORT_ANALYSIS_ERRORS"
"status_not_connected","WELCOME_HW_DISCONNECTED","shared","Nicht verbunden","Not connected","WELCOME_HW_DISCONNECTED"
"stop","STOP","one","Stopp","Stop",""
"stop_recording","STOP_RECORDING","one","Stopp {elapsed}","Stop {elapsed}",""
"stream","STREAM","one","Stream","Stream",""
"stream_error","STREAM_ERROR","one","Stream-Fehler","Stream error",""
"stream_preview","STREAM_PREVIEW","one","Stream-Vorschau","Stream preview",""
"stroke_label","STROKE_LABEL","one","Stärke:","Thickness:",""
"tab_damages","TAB_DAMAGES","one","Schäden","Damage",""
"tab_notes","CLIENT_PROFILE_NOTES","shared","Notizen","Notes","CLIENT_PROFILE_NOTES"
"tab_photos","Files.Section.Photos","shared","Fotos","Photos","Files.Section.Photos"
"tab_videos","Files.Section.Videos","shared","Videos","Videos","Files.Section.Videos"
"tap_to_set_marker","TAP_TO_SET_MARKER","one","Auf Karte tippen, um Standort zu markieren","",""
"test","TEST","one","Testen","Test",""
"test_connection","TEST_CONNECTION","one","Verbindung testen","Test connection",""
"two_camera_settings","TWO_CAMERA_SETTINGS","one","Kameraeinstellungen (NSP3CT TWO)","Camera settings (NSP3CT TWO)",""
"undo","MENU_EDIT_UNDO","shared","Rückgängig","Undo","MENU_EDIT_UNDO"
"update_available","UPDATE_AVAILABLE","one","Update verfügbar: {version}","",""
"update_cancel","BTN_CANCEL","shared","Abbrechen","","BTN_CANCEL"
"update_channel_beta","UPDATE_CHANNEL_BETA","one","Beta","",""
"update_channel_label","UPDATE_CHANNEL_LABEL","one","Update-Kanal","",""
"update_channel_stable","UPDATE_CHANNEL_STABLE","one","Stabil","",""
"update_check_now","UPDATE_CHECK_NOW","one","Nach Updates suchen","",""
"update_error_hash_mismatch","UPDATE_ERROR_HASH_MISMATCH","one","Integritätsprüfung fehlgeschlagen","",""
"update_error_install_failed","UPDATE_ERROR_INSTALL_FAILED","one","Installation fehlgeschlagen","",""
"update_error_network","UPDATE_ERROR_NETWORK","one","Netzwerkfehler beim Update-Check","",""
"update_install_now","UPDATE_INSTALL_NOW","one","Jetzt installieren","",""
"update_last_check","UPDATE_LAST_CHECK","one","Zuletzt geprüft: {time}","",""
"update_later","UPDATE_LATER","one","Später","",""
"update_mandatory_hint","UPDATE_MANDATORY_HINT","one","Dieses Update wird empfohlen","",""
"update_no_update","UPDATE_NO_UPDATE","one","App ist aktuell","",""
"update_notes_label","UPDATE_NOTES_LABEL","one","Versionshinweise","",""
"update_notification_body","UPDATE_NOTIFICATION_BODY","one","Version {version} ist bereit zur Installation","",""
"update_notification_title","WELCOME_PORTAL_UPDATE","shared","Update verfügbar","","WELCOME_PORTAL_UPDATE"
"update_progress_downloading","UPDATE_PROGRESS_DOWNLOADING","one","Lade herunter... {progress}","",""
"update_progress_installing","UPDATE_PROGRESS_INSTALLING","one","Installiere...","",""
"update_progress_verifying","UPDATE_PROGRESS_VERIFYING","one","Prüfe Integrität...","",""
"update_section_title","UPDATE_SECTION_TITLE","one","App-Updates","",""
"update_size_label","UPDATE_SIZE_LABEL","one","Größe: {size}","",""
"video_overlay","VIDEO_OVERLAY","one","Video-Overlay","Video Overlay",""
